Model,R2_Score,MSE,MAE
ANN_Baseline,-2.3551530135795473,3577.4348161581547,41.67068270444564
ANN_Tuned,-1.7944470508438535,4972.958071853708,40.12694153914593
RandomForest,-3.135458271454269,3881.0292084242633,39.07181916666667
